"index","status","confidence","date"
177,Defective,43.74%,2025-03-07 02:10:44
178,Defective,61.83%,2025-03-07 02:11:14
179,Defective,58.07%,2025-03-07 02:11:24
180,Defective,45.41%,2025-03-07 02:11:54
181,OK,98.71%,2025-03-07 02:12:24
182,Defective,49.35%,2025-03-07 02:13:34
183,Defective,48.33%,2025-03-07 02:13:44
184,Defective,38.29%,2025-03-07 02:13:54
185,Defective,67.66%,2025-03-07 02:14:04
186,Defective,72.10%,2025-03-07 02:14:14
187,Defective,9.26%,2025-03-07 02:18:40
188,Defective,69.18%,2025-03-07 02:19:00
189,OK,99.83%,2025-03-07 02:19:10
190,Defective,71.92%,2025-03-07 02:21:30
191,OK,89.43%,2025-03-07 02:21:40
192,Defective,43.05%,2025-03-07 02:22:10
193,Defective,9.39%,2025-03-07 02:22:31
194,Defective,6.31%,2025-03-07 02:22:41
195,OK,88.16%,2025-03-07 02:22:51
196,Defective,8.68%,2025-03-07 02:23:11
197,Defective,26.80%,2025-03-07 02:23:21
198,Defective,36.25%,2025-03-07 02:23:31
199,Defective,19.73%,2025-03-07 02:23:41
200,Defective,14.08%,2025-03-07 02:23:51
201,Defective,34.30%,2025-03-07 02:26:41
202,Defective,29.69%,2025-03-07 02:26:51
203,Defective,14.73%,2025-03-07 02:27:01
204,OK,85.39%,2025-03-07 02:27:11
205,Defective,43.53%,2025-03-07 02:27:21
206,OK,99.48%,2025-03-07 02:27:31
207,OK,92.86%,2025-03-07 02:29:17
208,Defective,24.33%,2025-03-07 02:29:47
209,Defective,79.77%,2025-03-07 02:29:57
210,Defective,57.79%,2025-03-07 02:30:07
211,Defective,78.41%,2025-03-07 02:30:17
212,OK,89.39%,2025-03-07 02:30:27
213,Defective,78.92%,2025-03-07 02:30:37
214,Defective,74.70%,2025-03-07 02:30:47
215,Defective,79.57%,2025-03-07 02:30:57
216,Defective,75.96%,2025-03-07 02:31:07
217,Defective,58.44%,2025-03-07 02:31:37
218,Defective,57.90%,2025-03-07 02:31:47
219,OK,99.02%,2025-03-07 02:31:57
220,Defective,79.65%,2025-03-07 02:32:17
221,OK,92.32%,2025-03-07 02:32:27
222,OK,97.10%,2025-03-07 02:32:37
223,OK,97.68%,2025-03-07 02:32:47
224,Defective,67.48%,2025-03-07 02:32:57
225,Defective,34.97%,2025-03-07 02:34:37
226,OK,82.76%,2025-03-07 02:35:27
227,Defective,75.01%,2025-03-07 02:42:07
228,OK,84.41%,2025-03-07 02:43:44
229,Defective,79.14%,2025-03-07 02:50:58
230,OK,95.11%,2025-03-07 02:51:18
231,Defective,60.34%,2025-03-07 02:52:38
232,Defective,1.43%,2025-03-07 02:52:45
233,Defective,1.43%,2025-03-07 02:52:46
234,Defective,1.43%,2025-03-07 02:52:47
235,Defective,68.35%,2025-03-07 02:52:48
236,Defective,1.43%,2025-03-07 02:52:48
237,Defective,1.43%,2025-03-07 02:52:50
238,Defective,1.43%,2025-03-07 02:52:56
239,Defective,1.43%,2025-03-07 02:52:56
240,Defective,1.43%,2025-03-07 02:52:56
241,Defective,1.43%,2025-03-07 02:52:57
242,Defective,1.43%,2025-03-07 02:52:57
243,Defective,1.43%,2025-03-07 02:52:58
244,Defective,1.43%,2025-03-07 02:52:58
245,Defective,1.43%,2025-03-07 02:52:58
246,Defective,1.43%,2025-03-07 02:52:58
247,Defective,1.43%,2025-03-07 02:52:58
248,Defective,1.43%,2025-03-07 02:52:59
249,Defective,1.43%,2025-03-07 02:52:59
250,Defective,1.43%,2025-03-07 02:52:59
251,Defective,1.43%,2025-03-07 02:52:59
252,Defective,1.43%,2025-03-07 02:52:59
253,Defective,1.43%,2025-03-07 02:52:59
254,Defective,1.43%,2025-03-07 02:53:00
255,Defective,1.43%,2025-03-07 02:53:00
256,Defective,1.43%,2025-03-07 02:53:00
257,Defective,1.43%,2025-03-07 02:53:00
258,Defective,1.43%,2025-03-07 02:53:06
259,Defective,1.43%,2025-03-07 02:53:10
260,Defective,1.43%,2025-03-07 02:53:38
261,Defective,0.22%,2025-03-07 02:53:44
262,Defective,0.89%,2025-03-07 02:53:59
263,Defective,0.89%,2025-03-07 02:54:03
264,Defective,0.00%,2025-03-07 03:00:01
265,Defective,32.35%,2025-03-07 03:00:03
266,Defective,60.68%,2025-03-07 03:00:13
267,Defective,44.04%,2025-03-07 03:00:23
268,Defective,62.73%,2025-03-07 03:00:33
269,OK,99.79%,2025-03-07 03:00:43
270,Defective,51.49%,2025-03-07 03:01:03
271,Defective,13.04%,2025-03-07 03:01:13
272,Defective,79.16%,2025-03-07 03:01:23
273,Defective,69.45%,2025-03-07 03:01:31
274,OK,99.03%,2025-03-07 03:01:37
275,OK,99.78%,2025-03-07 03:01:43
276,OK,98.73%,2025-03-07 03:01:49
277,OK,94.78%,2025-03-07 03:01:55
278,OK,97.24%,2025-03-07 03:02:01
279,Defective,4.21%,2025-03-07 03:02:07
280,Defective,1.91%,2025-03-07 03:02:13
281,Defective,44.47%,2025-03-07 03:02:19
282,Defective,54.33%,2025-03-07 03:02:25
283,Defective,47.32%,2025-03-07 03:02:31
284,Defective,13.51%,2025-03-07 03:02:37
285,Defective,16.82%,2025-03-07 03:02:43
286,OK,95.57%,2025-03-07 03:02:49
287,OK,99.92%,2025-03-07 03:02:55
288,OK,95.95%,2025-03-07 03:03:01
289,OK,80.51%,2025-03-07 03:03:07
290,OK,98.21%,2025-03-07 03:03:13
291,OK,92.89%,2025-03-07 03:03:19
292,Defective,64.55%,2025-03-07 03:08:43
293,Defective,2.52%,2025-03-07 03:08:53
294,OK,97.75%,2025-03-07 03:08:59
295,OK,99.99%,2025-03-07 03:10:38
296,OK,99.99%,2025-03-07 03:10:40
297,Defective,20.14%,2025-03-07 03:11:10
298,Defective,22.39%,2025-03-07 03:11:12
299,Defective,31.76%,2025-03-07 03:11:14
300,Defective,37.89%,2025-03-07 03:11:16
301,Defective,24.20%,2025-03-07 03:11:18
302,Defective,21.79%,2025-03-07 03:11:20
303,Defective,24.26%,2025-03-07 03:11:23
304,Defective,23.62%,2025-03-07 03:11:25
305,Defective,27.26%,2025-03-07 03:11:27
306,Defective,28.89%,2025-03-07 03:11:29
307,Defective,25.95%,2025-03-07 03:11:31
308,Defective,24.01%,2025-03-07 03:11:33
309,Defective,20.70%,2025-03-07 03:11:35
310,Defective,48.11%,2025-03-07 03:11:37
311,Defective,47.60%,2025-03-07 03:11:39
312,Defective,58.88%,2025-03-07 03:11:41
313,Defective,49.35%,2025-03-07 03:11:43
314,Defective,63.57%,2025-03-07 03:13:19
315,OK,84.42%,2025-03-07 03:14:05
